City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lewiston orchards,46.3804,-116.9754,34.28,22,0,0.0,US,1723250777
84,as sulayyil,20.4607,45.5779,36.14,16,100,2.82,SA,1723250777
85,kresttsy,58.2452,32.5165,13.57,88,79,1.86,RU,1723250777
86,camiri,-20.05,-63.5167,7.16,47,0,1.22,BO,1723250777
87,douentza,14.9951,-2.9517,29.95,60,77,1.14,ML,1723250777
88,vanimo,-2.6741,141.3028,30.36,63,4,2.01,PG,1723250778
89,chichicastenango,14.9333,-91.1167,18.63,95,97,1.38,GT,1723250778
90,port elizabeth,-33.918,25.5701,11.16,91,0,0.45,ZA,1723250778
91,yellowknife,62.456,-114.3525,26.34,45,0,6.71,CA,1723250778
92,boundiali,9.5217,-6.4869,21.57,96,85,2.22,CI,1723250779
93,lijiang,26.8688,100.2207,16.83,93,100,1.05,CN,1723250779
94,papatowai,-46.5619,169.4708,11.11,49,100,1.2,NZ,1723250779
95,nuku'alofa,-21.1333,-175.2,25.19,61,75,5.66,TO,1723250779
96,acarau,-2.8856,-40.12,25.54,84,7,7.09,BR,1723250780
97,vidalia,32.2177,-82.4135,30.97,74,0,0.0,US,1723250780
98,sinop,41.7711,34.8709,17.69,56,0,1.39,TR,1723250780
99,ribeira grande,38.5167,-28.7,24.87,81,66,1.79,PT,1723250780
100,ubari,26.5921,12.7805,30.74,28,0,5.22,LY,1723250781
101,liaoyuan,42.9036,125.1358,21.08,94,100,0.89,CN,1723250515
102,steamboat springs,40.485,-106.8317,17.77,75,100,2.68,US,1723250781
103,isafjordur,66.0755,-23.124,7.12,85,100,0.69,IS,1723250781
104,touros,-5.1989,-35.4608,23.92,75,0,6.02,BR,1723250782
105,makokou,0.5738,12.8642,21.44,93,77,1.68,GA,1723250782
106,bredasdorp,-34.5322,20.0403,9.0,86,99,3.54,ZA,1723250782
107,itoman,26.1247,127.6694,31.21,79,20,3.6,JP,1723250782
108,ilanskiy,56.2358,96.065,19.25,82,79,2.35,RU,1723250782
109,tazacorte,28.629,-17.9293,23.42,75,40,6.69,ES,1723250783
110,cidreira,-30.1811,-50.2056,10.43,82,100,8.59,BR,1723250783
111,saint-philippe,-21.3585,55.7679,19.77,74,51,4.57,RE,1723250783
112,niquero,20.0431,-77.5828,28.75,73,84,1.27,CU,1723250783
113,selfoss,63.9331,-20.9971,7.8,79,100,2.88,IS,1723250784
114,juli,-16.2167,-69.45,6.85,21,0,4.2,PE,1723250784
115,barah,13.7,30.3667,27.5,62,100,2.69,SD,1723250784
116,saint-pierre,-21.3393,55.4781,19.82,64,0,4.12,RE,1723250784
117,chillicothe,39.3331,-82.9824,25.17,50,75,4.12,US,1723250674
118,laojunmiao,39.8333,97.7333,19.22,30,0,0.67,CN,1723250785
119,zima,53.9202,102.0442,19.69,81,81,0.48,RU,1723250785
120,klaksvik,62.2266,-6.589,10.51,95,88,7.18,FO,1723250785
121,usogorsk,63.4106,48.6872,14.16,66,100,1.63,RU,1723250786
122,savanna-la-mar,18.219,-78.1332,29.97,90,96,0.82,JM,1723250786
123,alpena,45.0617,-83.4327,19.18,69,0,3.09,US,1723250786
124,praia da vitoria,38.7333,-27.0667,23.75,83,0,2.26,PT,1723250786
125,nuriootpa,-34.4833,139.0,15.51,55,5,2.93,AU,1723250787
126,bethel,41.3712,-73.414,24.64,88,100,0.89,US,1723250787
127,tralee,52.2704,-9.7026,14.67,92,98,2.12,IE,1723250787
128,dek'emhare,15.07,39.0475,18.55,78,100,1.8,ER,1723250787
129,xichang,27.8964,102.2634,20.61,96,100,1.03,CN,1723250787
130,faya-largeau,17.9257,19.1043,29.36,64,88,2.4,TD,1723250788
131,hilo,19.7297,-155.09,27.85,73,0,3.6,US,1723250788
132,labrador city,52.9463,-66.9114,17.88,73,75,4.92,CA,1723250788
133,urumqi,43.801,87.6005,30.53,19,0,9.0,CN,1723250716
134,longyearbyen,78.2186,15.6401,13.91,77,0,9.26,SJ,1723250788
135,pacocha,-17.5833,-71.3333,14.92,87,88,0.59,PE,1723250789
136,tagiura,32.8817,13.3506,26.83,74,0,2.25,LY,1723250789
137,nephi,39.7102,-111.8363,30.71,27,4,5.47,US,1723250789
138,red hill,33.9996,-79.2581,27.16,1,47,3.15,US,1723250789
139,lihue,21.9789,-159.3672,28.77,63,40,6.17,US,1723250790
140,antonio enes,-16.2325,39.9086,20.63,85,0,2.33,MZ,1723250790
141,port augusta,-32.5,137.7667,15.39,62,100,2.56,AU,1723250790
142,cidade velha,14.9167,-23.6167,26.26,83,20,1.03,CV,1723250790
143,luderitz,-26.6481,15.1594,13.79,80,0,3.4,NA,1723250791
144,codrington,-38.2667,141.9667,13.2,77,13,3.26,AU,1723250791
145,noumea,-22.2763,166.4572,25.99,99,71,7.17,NC,1723250791
146,ancud,-41.8697,-73.8203,9.66,96,100,6.06,CL,1723250792
147,hamilton,39.1834,-84.5333,25.35,63,0,1.79,US,1723250792
148,nuuk,64.1835,-51.7216,5.34,93,75,3.09,GL,1723250792
149,stanley,54.868,-1.6985,14.01,81,20,5.14,GB,1723250792
150,sawakin,19.1059,37.3321,34.76,51,69,0.72,SD,1723250793
151,ambatofinandrahana,-20.55,46.8,9.66,93,0,1.44,MG,1723250793
152,tiksi,71.6872,128.8694,4.86,93,100,3.97,RU,1723250793
153,georgetown,5.4112,100.3354,27.96,88,20,1.03,MY,1723250793
154,kristiansund,63.1115,7.732,13.96,93,75,8.23,NO,1723250794
155,raduzhny,62.0961,77.475,11.64,81,100,4.64,RU,1723250794
156,tofol,5.3248,163.0078,28.71,68,70,0.5,FM,1723250794
157,essaouira,31.5125,-9.77,22.72,78,0,1.54,MA,1723250794
158,palu,-0.8917,119.8707,27.89,68,100,1.48,ID,1723250795
159,pandan,14.0453,124.1694,30.32,70,100,4.95,PH,1723250795
160,kapa'a,22.0752,-159.319,29.18,64,40,6.17,US,1723250795
161,palmer,42.1584,-72.3287,25.48,77,100,6.69,US,1723250795
162,gawler,-34.6,138.7333,17.02,70,3,0.76,AU,1723250796
163,enewetak,11.3474,162.3373,28.87,78,73,6.18,MH,1723250796
164,abepura,-2.6333,140.5833,29.45,74,20,2.57,ID,1723250796
165,carnarvon,-24.8667,113.6333,19.95,56,0,3.63,AU,1723250796
166,lorengau,-2.0226,147.2712,28.69,76,61,2.75,PG,1723250796
167,ulladulla,-35.35,150.4667,14.98,61,75,1.77,AU,1723250797
168,lerwick,60.1545,-1.1494,13.0,92,100,11.77,GB,1723250797
169,puerto baquerizo moreno,-0.9,-89.6,19.52,79,20,5.24,EC,1723250797
170,thompson,55.7435,-97.8558,24.09,43,75,4.12,CA,1723250797
171,anadyr,64.75,177.4833,12.28,62,20,4.0,RU,1723250796
172,portland,45.5234,-122.6762,30.34,55,75,2.57,US,1723250083
173,nogliki,51.8333,143.1667,15.44,74,100,4.26,RU,1723250798
174,arenas de san pedro,40.2104,-5.0869,26.5,25,0,3.41,ES,1723250798
175,ponta delgada,37.7333,-25.6667,23.4,88,20,1.03,PT,1723250798
176,hasaki,35.7333,140.8333,30.16,85,100,11.77,JP,1723250798
177,shkoder,42.0683,19.5126,28.1,52,2,1.99,AL,1723250799
178,richards bay,-28.783,32.0377,16.71,75,0,1.71,ZA,1723250799
179,qaqortoq,60.7167,-46.0333,5.03,95,98,1.0,GL,1723250799
180,kerikeri,-35.2268,173.9474,17.73,71,100,2.24,NZ,1723250799
181,hargeysa,9.56,44.065,21.62,66,61,10.84,SO,1723250799
182,kotabumi,-4.8333,104.9,26.01,81,5,1.71,ID,1723250800
183,castro,-24.7911,-50.0119,7.14,85,100,2.63,BR,1723250800
184,santa ana,33.7456,-117.8678,33.48,56,20,4.63,US,1723250769
185,cabo san lucas,22.8909,-109.9124,35.61,49,0,4.63,MX,1723250800
186,alofi,-19.0595,-169.9187,23.94,60,75,5.14,NU,1723250801
187,yorkton,51.2167,-102.4677,18.91,52,75,5.66,CA,1723250801
188,kargasok,59.0556,80.8572,11.7,93,42,2.72,RU,1723250801
189,san patricio,28.017,-97.5169,33.08,54,0,5.22,US,1723250801
190,lebu,-37.6167,-73.65,8.78,84,100,1.22,CL,1723250802
191,west island,-12.1568,96.8225,25.99,78,8,4.12,CC,1723250802
192,atafu village,-8.5421,-172.5159,28.16,76,9,5.62,TK,1723250802
193,papao,-17.75,-149.55,26.82,80,75,5.29,PF,1723250802
194,new norfolk,-42.7826,147.0587,15.4,62,68,2.98,AU,1723250803
195,manakara,-22.1333,48.0167,18.35,95,13,2.32,MG,1723250803
196,port lincoln,-34.7333,135.8667,13.86,64,0,0.82,AU,1723250803
197,carutapera,-1.195,-46.02,26.14,79,100,4.3,BR,1723250803
198,markala,13.7021,-6.0659,26.87,80,100,2.66,ML,1723250803
199,yen vinh,18.6667,105.6667,31.04,66,100,3.9,VN,1723250804
200,saipan,15.1355,145.701,31.39,74,40,3.09,MP,1723250804
201,oranjemund,-28.55,16.4333,12.51,92,1,0.76,NA,1723250804
202,orizona,-17.0314,-48.2958,21.1,40,0,2.78,BR,1723250805
203,sitka,57.0531,-135.33,16.94,94,100,4.12,US,1723250805
204,kodiak,57.79,-152.4072,13.73,67,100,3.09,US,1723250805
205,tucuma,-0.1833,-50.05,26.52,82,8,3.61,BR,1723250805
206,mirny,62.5353,113.9611,18.92,77,34,2.0,RU,1723250805
207,begamganj,23.6,78.3333,23.02,98,100,3.84,IN,1723250806
208,midvagur,62.0511,-7.1939,10.46,93,75,6.17,FO,1723250806
209,olonkinbyen,70.9221,-8.7187,4.77,97,100,7.08,SJ,1723250806
210,la'ie,21.6477,-157.9253,30.98,67,22,4.47,US,1723250806
211,villa avila camacho,20.3819,-97.8792,25.03,92,97,0.57,MX,1723250807
212,al jawf,29.5,38.75,26.81,30,0,3.83,SA,1723250807
213,tsiombe,-25.3,45.4833,17.54,93,0,1.74,MG,1723250807
214,uchaly,54.2996,59.4521,6.81,90,39,1.63,RU,1723250807
215,utrik,11.2278,169.8474,28.51,76,100,7.98,MH,1723250808
216,macclesfield,53.2602,-2.1256,15.42,78,35,2.57,GB,1723250808
217,ust-nera,64.5667,143.2,19.92,52,90,4.16,RU,1723250808
218,kailua-kona,19.6406,-155.9956,28.98,74,75,5.66,US,1723250808
219,howrah,22.5892,88.3103,29.0,94,100,3.09,IN,1723250808
220,kingston,17.997,-76.7936,30.53,74,20,7.72,JM,1723250805
221,basoko,1.2391,23.616,22.98,93,100,1.18,CD,1723250809
222,bela,25.9333,81.9833,27.15,86,100,2.02,IN,1723250809
223,san antonio de pale,-1.4014,5.6325,22.58,85,41,5.13,GQ,1723250810
224,halifax,44.6453,-63.5724,19.27,97,100,4.47,CA,1723250664
225,lata,40.1629,-8.3327,18.37,68,0,0.71,PT,1723250810
226,ulimang,7.6242,134.6421,32.23,72,100,2.55,PW,1723250810
227,port blair,11.6667,92.75,27.02,89,20,1.03,IN,1723250810
228,talnakh,69.4865,88.3972,14.69,50,0,0.1,RU,1723250811
229,usinsk,65.9939,57.5281,10.52,76,66,3.95,RU,1723250811
230,gadzhiyevo,69.2551,33.3362,11.88,68,0,4.42,RU,1723250811
231,aksu,41.1231,80.2644,25.1,45,1,1.51,CN,1723250811
232,el granada,37.5027,-122.4694,24.88,66,20,7.72,US,1723250812
233,la ronge,55.1001,-105.2842,22.14,37,40,2.57,CA,1723250812
234,noosa heads,-26.3833,153.15,21.73,64,11,6.39,AU,1723250812
235,nemuro,43.3236,145.575,16.81,99,100,3.02,JP,1723250812
236,beroroha,-21.6667,45.1667,17.55,79,0,0.92,MG,1723250813
237,qusmuryn,52.4503,64.6311,10.51,75,0,3.18,KZ,1723250813
238,morris,40.8334,-74.5329,23.65,92,100,4.63,US,1723250813
239,vilyuchinsk,52.9306,158.4028,15.15,87,100,2.24,RU,1723250813
240,inayauan,9.9005,122.434,28.37,78,100,3.32,PH,1723250814
241,celestun,20.8667,-90.4,26.82,86,100,5.82,MX,1723250814
242,san carlos de bariloche,-41.1456,-71.3082,7.86,76,40,9.77,AR,1723250814
243,merzifon,40.8733,35.4631,16.7,82,0,3.09,TR,1723250814
244,bechar,31.6167,-2.2167,37.18,10,0,1.03,DZ,1723250814
245,lepsy,46.235,78.9456,29.22,28,74,8.12,KZ,1723250815
246,palopo,-2.9996,120.1921,26.48,65,16,1.42,ID,1723250815
247,magdagachi,53.45,125.8,17.46,75,96,2.4,RU,1723250815
248,sarangani,5.4033,125.4636,27.82,75,100,3.75,PH,1723250816
249,kalmunai,7.4167,81.8167,26.82,74,98,2.16,LK,1723250816
250,lauro de freitas,-12.8944,-38.3272,24.01,73,0,4.63,BR,1723250544
251,gangtok,27.3333,88.6167,20.82,99,100,0.38,IN,1723250816
252,dunedin,-45.8742,170.5036,9.33,76,100,1.34,NZ,1723250817
253,baturaja,-4.1333,104.1667,24.94,85,100,1.28,ID,1723250817
254,hadibu,12.65,54.0333,25.75,79,19,8.65,YE,1723250817
255,oamaru,-45.0784,170.9801,11.88,77,100,1.86,NZ,1723250817
256,akjoujt,19.6969,-14.4164,28.51,55,12,8.16,MR,1723250817
257,pumiao,22.75,108.4833,29.22,74,95,5.24,CN,1723250818
258,chervona sloboda,49.3789,32.1464,21.99,48,100,2.03,UA,1723250818
259,bazarnyye mataki,54.8833,49.9333,13.93,98,100,2.92,RU,1723250818
260,bonthe,7.5264,-12.505,25.39,79,100,5.09,SL,1723250818
261,ulanhot,46.0833,122.0833,19.7,96,100,3.38,CN,1723250819
